eo_maintanance_job_code,maintanance_code,eo_code,eo_main_class_code,eo_description,maintanance_category_id,maintanance_name,interval_motohours,downtime_planned,pass_interval,go_interval,operation_start_date,last_maintanance_date
100000028868_55.0,CAT785C_ЕТО,100000028868,E01_01,Самосвал карьерный 785C №401,eto,ЕТО,24.0,0.33,not,not,2009-03-04,31.12.2022
100000028868_56.0,CAT785C_ТО-500,100000028868,E01_01,Самосвал карьерный 785C №401,to500,ТО-500,500.0,4.5,1000;2000;3000;4000;5000;6000;7000;8000;9000;10000;11000;12000;13000;14000;15000;16000;17000;18000;19000;20000;21000;22000;23000;24000;25000;26000,500;1500;2500;3500;4500;5500;6500;7500;8500;9500;10500;11500;12500;13500;14500;15500;16500;17500;18500;19500;20500;21500;22500;23500;24500;25500;26500,2009-03-04,31.12.2022
100000028868_57.0,CAT785C_ТО-1000,100000028868,E01_01,Самосвал карьерный 785C №401,to1000,ТО-1000,1000.0,5.9,2000;4000;6000;8000;10000;12000;14000;16000;18000;20000;22000;24000;26000,1000;3000;5000;7000;9000;11000;13000;15000;17000;19000;21000;23000;25000,2009-03-04,31.12.2022
100000028868_58.0,CAT785C_ТО-2000,100000028868,E01_01,Самосвал карьерный 785C №401,to2000,ТО-2000,2000.0,6.7,4000;6000;8000;12000;16000;18000;20000;24000,2000;10000;14000;22000;26000,2009-03-04,31.12.2022
100000028868_59.0,CAT785C_ТО-4000,100000028868,E01_01,Самосвал карьерный 785C №401,to4000,ТО-4000,4000.0,12.3,12000;24000,4000;8000;16000;20000,2009-03-04,31.12.2022
100000028868_60.0,CAT785C_ТО-6000,100000028868,E01_01,Самосвал карьерный 785C №401,to6000,ТО-6000,6000.0,8.9,12000;24000,6000;18000,2009-03-04,31.12.2022
100000028868_61.0,CAT785C_ТО-12000,100000028868,E01_01,Самосвал карьерный 785C №401,to12000,ТО-12000,12000.0,10.6,not,not,2009-03-04,31.12.2022
100000028868_62.0,CAT785C_ТО доп систем,100000028868,E01_01,Самосвал карьерный 785C №401,to_suppl_systems,ТО доп систем,4000.0,10.0,not,not,2009-03-04,31.12.2022
100000028868_63.0,CAT785C_ТР,100000028868,E01_01,Самосвал карьерный 785C №401,tr,ТР,250.0,14.0,not,not,2009-03-04,31.12.2022
100000028868_64.0,CAT785C_Трдоп.сист.,100000028868,E01_01,Самосвал карьерный 785C №401,tr_suppl_systems,Трдоп.сист.,4000.0,10.0,not,not,2009-03-04,31.12.2022
100000028868_65.0,CAT785C_Трсред,100000028868,E01_01,Самосвал карьерный 785C №401,tr_middle,Трсред,10000.0,282.0,not,not,2009-03-04,31.12.2022
100000028868_66.0,CAT785C_КР,100000028868,E01_01,Самосвал карьерный 785C №401,overhaul_total,КР,20000.0,600.0,not,not,2009-03-04,31.12.2022
