,teh_mesto_month_year,level_upper,Название технического места,month_year,year,"dowtime_plan, hours"
0,11-RUD-CGTR-SEBT-C785_10_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,10_2023,2023,0
1,11-RUD-CGTR-SEBT-C785_10_2024,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,10_2024,2024,0
2,11-RUD-CGTR-SEBT-C785_10_2025,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,10_2025,2025,0
3,11-RUD-CGTR-SEBT-C785_11_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,11_2023,2023,0
4,11-RUD-CGTR-SEBT-C785_11_2024,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,11_2024,2024,0
5,11-RUD-CGTR-SEBT-C785_11_2025,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,11_2025,2025,0
6,11-RUD-CGTR-SEBT-C785_12_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,12_2023,2023,0
7,11-RUD-CGTR-SEBT-C785_12_2024,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,12_2024,2024,0
8,11-RUD-CGTR-SEBT-C785_12_2025,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,12_2025,2025,0
9,11-RUD-CGTR-SEBT-C785_1_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,1_2023,2023,0
10,11-RUD-CGTR-SEBT-C785_1_2024,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,1_2024,2024,0
11,11-RUD-CGTR-SEBT-C785_1_2025,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,1_2025,2025,0
12,11-RUD-CGTR-SEBT-C785_2_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,2_2023,2023,0
13,11-RUD-CGTR-SEBT-C785_2_2024,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,2_2024,2024,0
14,11-RUD-CGTR-SEBT-C785_2_2025,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,2_2025,2025,0
15,11-RUD-CGTR-SEBT-C785_3_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,3_2023,2023,0
16,11-RUD-CGTR-SEBT-C785_3_2024,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,3_2024,2024,0
17,11-RUD-CGTR-SEBT-C785_3_2025,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,3_2025,2025,0
18,11-RUD-CGTR-SEBT-C785_4_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,4_2023,2023,0
19,11-RUD-CGTR-SEBT-C785_4_2024,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,4_2024,2024,0
20,11-RUD-CGTR-SEBT-C785_4_2025,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,4_2025,2025,0
21,11-RUD-CGTR-SEBT-C785_5_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,5_2023,2023,0
22,11-RUD-CGTR-SEBT-C785_5_2024,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,5_2024,2024,0
23,11-RUD-CGTR-SEBT-C785_5_2025,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,5_2025,2025,0
24,11-RUD-CGTR-SEBT-C785_6_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,6_2023,2023,0
25,11-RUD-CGTR-SEBT-C785_6_2024,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,6_2024,2024,0
26,11-RUD-CGTR-SEBT-C785_6_2025,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,6_2025,2025,0
27,11-RUD-CGTR-SEBT-C785_7_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,7_2023,2023,0
28,11-RUD-CGTR-SEBT-C785_7_2024,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,7_2024,2024,0
29,11-RUD-CGTR-SEBT-C785_7_2025,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,7_2025,2025,0
30,11-RUD-CGTR-SEBT-C785_8_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,8_2023,2023,0
31,11-RUD-CGTR-SEBT-C785_8_2024,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,8_2024,2024,0
32,11-RUD-CGTR-SEBT-C785_8_2025,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,8_2025,2025,0
33,11-RUD-CGTR-SEBT-C785_9_2023,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,9_2023,2023,0
34,11-RUD-CGTR-SEBT-C785_9_2024,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,9_2024,2024,0
35,11-RUD-CGTR-SEBT-C785_9_2025,11-RUD-CGTR-SEBT-C785,Самосвалы CAT 785C,9_2025,2025,0
